Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?
2024/02/12 12:49:47:793,0.2801,-0.158,-9.9144,97,false
2024/02/12 12:49:47:953,0.2035,-0.1006,-9.9551,97,false
2024/02/12 12:49:48:114,0.2131,-0.0694,-9.9671,97,false
2024/02/12 12:49:48:273,0.1987,-0.1197,-9.9766,97,false
2024/02/12 12:49:48:433,0.2274,-0.1317,-9.9671,97,false
2024/02/12 12:49:48:594,0.182,-0.1389,-10.0149,97,false
2024/02/12 12:49:48:753,0.2562,-0.1987,-9.9958,97,false
2024/02/12 12:49:48:913,0.1939,-0.1628,-9.9671,97,false
2024/02/12 12:49:49:075,0.2059,-0.1508,-9.9934,97,false
2024/02/12 12:49:49:233,0.1939,-0.1915,-9.9742,97,false
2024/02/12 12:49:49:393,0.2442,-0.0838,-10.0293,97,false
2024/02/12 12:49:49:554,0.237,-0.1077,-9.9814,97,false
2024/02/12 12:49:49:714,0.2442,-0.1173,-9.8928,97,false
2024/02/12 12:49:49:877,0.2298,-0.1269,-10.0245,97,false
2024/02/12 12:49:50:035,0.1628,-0.1437,-9.9719,97,false
2024/02/12 12:49:50:194,0.2442,-0.1245,-9.991,97,false
2024/02/12 12:49:50:354,0.2203,-0.103,-9.9719,97,false
2024/02/12 12:49:50:515,0.2011,-0.0814,-10.0173,97,false
2024/02/12 12:49:50:675,0.1796,-0.1269,-9.9742,97,false
2024/02/12 12:49:50:835,0.2155,-0.1341,-9.9623,97,false
2024/02/12 12:49:50:996,0.2274,-0.1437,-9.9455,97,false
2024/02/12 12:49:51:155,0.2466,-0.079,-9.9335,97,false
2024/02/12 12:49:51:315,0.2059,-0.1125,-9.9311,97,false
2024/02/12 12:49:51:477,0.2131,-0.1341,-9.9647,97,false
2024/02/12 12:49:51:635,0.2251,-0.0575,-9.9623,97,false
2024/02/12 12:49:51:796,0.2131,-0.1676,-9.9264,97,false
2024/02/12 12:49:51:957,0.3089,-0.1269,-9.9455,97,false
2024/02/12 12:49:52:116,0.2897,-0.1245,-10.0149,97,false
2024/02/12 12:49:52:277,0.2011,-0.1077,-9.9742,97,false
2024/02/12 12:49:52:437,0.2059,-0.1317,-9.9814,97,false
2024/02/12 12:49:52:596,0.2394,-0.0982,-9.9934,97,false
2024/02/12 12:49:52:756,0.237,-0.1293,-10.0006,97,false
2024/02/12 12:49:52:918,0.237,-0.1125,-9.9862,97,false
2024/02/12 12:49:53:077,0.1987,-0.1077,-9.9886,97,false
2024/02/12 12:49:53:237,0.1844,-0.0814,-9.9599,97,false
2024/02/12 12:49:53:398,0.2227,-0.1556,-9.9383,97,false
2024/02/12 12:49:53:557,0.2179,-0.1173,-10.0054,97,false
2024/02/12 12:49:53:717,0.2586,-0.103,-9.9862,97,false
2024/02/12 12:49:53:879,0.2179,-0.1149,-9.9982,97,false
2024/02/12 12:49:54:037,0.2035,-0.1556,-9.9814,97,false
2024/02/12 12:49:54:197,0.2298,-0.1101,-9.979,97,false
2024/02/12 12:49:54:358,0.2035,-0.1293,-9.9862,97,false
2024/02/12 12:49:54:518,0.2203,-0.1101,-10.0245,97,false
2024/02/12 12:49:54:678,0.2394,-0.0838,-9.9934,97,false
2024/02/12 12:49:54:839,0.1939,-0.0958,-9.9527,97,false
2024/02/12 12:49:54:998,0.2251,-0.0718,-9.9551,97,false
2024/02/12 12:49:55:158,0.2322,-0.1173,-9.9719,97,false
2024/02/12 12:49:55:319,0.2969,-0.1389,-9.9383,97,false
2024/02/12 12:49:55:479,0.2801,-0.0838,-9.9982,97,false
2024/02/12 12:49:55:639,0.2586,-0.103,-9.9383,97,false
2024/02/12 12:49:55:805,0.2251,-0.0862,-9.9814,97,false
2024/02/12 12:49:55:959,0.1867,-0.1389,-9.9719,97,false
2024/02/12 12:49:56:119,0.2251,-0.1269,-10.0221,97,false
2024/02/12 12:49:56:281,0.249,-0.0958,-9.9766,97,false
2024/02/12 12:49:56:439,0.3017,-0.079,-9.9695,97,false
2024/02/12 12:49:56:600,0.2155,-0.1173,-9.9575,97,false
2024/02/12 12:49:56:761,0.1556,-0.1484,-9.9479,97,false
2024/02/12 12:49:56:920,0.2131,-0.0742,-9.9647,97,false
2024/02/12 12:49:57:081,0.3184,-0.1053,-9.9742,97,false
2024/02/12 12:49:57:252,0.1796,-0.1652,-9.9671,97,false
2024/02/12 12:49:57:402,0.2418,-0.1197,-9.979,97,false
2024/02/12 12:49:57:560,0.1891,-0.1556,-9.9527,97,false
2024/02/12 12:49:57:722,0.2155,-0.1389,-9.9742,97,false
2024/02/12 12:49:57:888,0.2059,-0.079,-9.9575,97,false
2024/02/12 12:49:58:043,0.182,-0.1628,-10.0149,97,false
2024/02/12 12:49:58:202,0.1891,-0.0886,-9.9958,97,false
2024/02/12 12:49:58:361,0.237,-0.0694,-9.9623,97,false
2024/02/12 12:49:58:527,0.2179,-0.1053,-9.9599,97,false
2024/02/12 12:49:58:689,0.2083,-0.1532,-9.9599,97,false
2024/02/12 12:49:59:164,0.2346,-0.0551,-9.9982,97,false
2024/02/12 12:49:59:169,0.2586,-0.0694,-9.9503,97,false
2024/02/12 12:49:59:175,0.1628,-0.0239,-9.9838,97,false
2024/02/12 12:49:59:324,0.2538,-0.1413,-9.9335,97,false
2024/02/12 12:49:59:487,0.1963,-0.0838,-9.9671,97,false
2024/02/12 12:49:59:652,0.182,-0.0838,-9.991,97,false
2024/02/12 12:50:00:277,0.2322,-0.1341,-9.9814,97,false
2024/02/12 12:50:00:298,0.2418,-0.0646,-9.9671,97,false
